
Relation :  FLAG  ==  TYPE  |  VARIANT << 5
                  ==  TYPE  +  VARIANT * 0x20

Percent  :  Usage within the named sub file

----------------------------------------------------
*** Road ***
type variant  flag  percent  track + subfile
----------------------------------------------------
0x00  0x000  0x0000   0.46%  T51 course.kcl
0x00  0x000  0x0000   3.26%  T22 course.kcl
0x00  0x000  0x0000   3.61%  T14 course.kcl
0x00  0x000  0x0000   4.63%  T32 course.kcl
0x00  0x000  0x0000   7.72%  T21 course.kcl
0x00  0x000  0x0000   9.98%  T74 course.kcl
0x00  0x000  0x0000  11.50%  T31 course.kcl
0x00  0x000  0x0000  16.67%  T14 Crane.kcl
0x00  0x000  0x0000  17.29%  T81 course.kcl
0x00  0x000  0x0000  20.94%  T54 course.kcl
0x00  0x000  0x0000  23.60%  T42 course.kcl
0x00  0x000  0x0000  33.33%  T14 bulldozer_left.kcl
0x00  0x000  0x0000  33.33%  T14 bulldozer_right.kcl
0x00  0x000  0x0000  44.11%  T11 course.kcl
0x00  0x000  0x0000 100.00%  T43 FlamePole.kcl

0x00  0x001  0x0020   0.70%  T43 course.kcl
0x00  0x001  0x0020   0.83%  T24 course.kcl
0x00  0x001  0x0020   1.87%  T33 course.kcl
0x00  0x001  0x0020   1.89%  T32 course.kcl
0x00  0x001  0x0020   2.96%  T73 course.kcl
0x00  0x001  0x0020   3.56%  T82 course.kcl
0x00  0x001  0x0020   7.25%  T83 course.kcl
0x00  0x001  0x0020   7.47%  T14 course.kcl
0x00  0x001  0x0020   9.34%  T74 course.kcl
0x00  0x001  0x0020  10.87%  T13 course.kcl
0x00  0x001  0x0020  17.14%  T34 VolcanoPiece16.kcl
0x00  0x001  0x0020  18.03%  T52 course.kcl
0x00  0x001  0x0020  18.09%  T34 VolcanoPiece18.kcl
0x00  0x001  0x0020  18.18%  T34 VolcanoPiece14.kcl
0x00  0x001  0x0020  19.38%  T34 course.kcl
0x00  0x001  0x0020  19.48%  T34 VolcanoPiece9.kcl
0x00  0x001  0x0020  19.72%  T34 VolcanoPiece3.kcl
0x00  0x001  0x0020  20.56%  T34 VolcanoPiece2.kcl
0x00  0x001  0x0020  21.39%  T34 VolcanoPiece11.kcl
0x00  0x001  0x0020  23.02%  T34 VolcanoPiece0.kcl
0x00  0x001  0x0020  25.72%  T12 course.kcl
0x00  0x001  0x0020  31.93%  T34 VolcanoPiece13.kcl
0x00  0x001  0x0020  32.03%  T34 VolcanoPiece1.kcl
0x00  0x001  0x0020  38.67%  T34 VolcanoPiece4.kcl
0x00  0x001  0x0020  45.66%  T64 course.kcl
0x00  0x001  0x0020 100.00%  T34 VolcanoPiece0b.kcl
0x00  0x001  0x0020 100.00%  T34 VolcanoPiece11b.kcl
0x00  0x001  0x0020 100.00%  T34 VolcanoPiece13b.kcl
0x00  0x001  0x0020 100.00%  T34 VolcanoPiece14b.kcl
0x00  0x001  0x0020 100.00%  T34 VolcanoPiece16b.kcl
0x00  0x001  0x0020 100.00%  T34 VolcanoPiece18b.kcl
0x00  0x001  0x0020 100.00%  T34 VolcanoPiece1b.kcl
0x00  0x001  0x0020 100.00%  T34 VolcanoPiece2b.kcl
0x00  0x001  0x0020 100.00%  T34 VolcanoPiece3b.kcl
0x00  0x001  0x0020 100.00%  T34 VolcanoPiece4b.kcl
0x00  0x001  0x0020 100.00%  T34 VolcanoPiece9b.kcl

0x00  0x002  0x0040   0.15%  T62 course.kcl
0x00  0x002  0x0040   0.60%  T22 course.kcl
0x00  0x002  0x0040   0.67%  T43 course.kcl
0x00  0x002  0x0040   1.89%  T74 course.kcl
0x00  0x002  0x0040   2.25%  T82 course.kcl
0x00  0x002  0x0040   2.36%  T41 course.kcl
0x00  0x002  0x0040   5.73%  T84 course.kcl
0x00  0x002  0x0040   8.88%  T51 course.kcl
0x00  0x002  0x0040  11.03%  T63 course.kcl
0x00  0x002  0x0040  17.82%  T21 course.kcl
0x00  0x002  0x0040  24.00%  T72 course.kcl
0x00  0x002  0x0040  27.27%  T41 dc_pillar_base.kcl

0x00  0x003  0x0060   0.75%  T34 VolcanoPiece9.kcl
0x00  0x003  0x0060   0.75%  T34 course.kcl
0x00  0x003  0x0060   0.81%  T34 VolcanoPiece2.kcl
0x00  0x003  0x0060   0.89%  T34 VolcanoPiece4.kcl
0x00  0x003  0x0060   0.92%  T34 VolcanoPiece3.kcl
0x00  0x003  0x0060   0.94%  T71 course.kcl
0x00  0x003  0x0060   1.01%  T34 VolcanoPiece18.kcl
0x00  0x003  0x0060   1.16%  T34 VolcanoPiece11.kcl
0x00  0x003  0x0060   1.31%  T34 VolcanoPiece1.kcl
0x00  0x003  0x0060   1.59%  T34 VolcanoPiece0.kcl
0x00  0x003  0x0060   1.68%  T34 VolcanoPiece13.kcl
0x00  0x003  0x0060   2.11%  T72 course.kcl
0x00  0x003  0x0060   2.29%  T34 VolcanoPiece16.kcl
0x00  0x003  0x0060   3.78%  T22 course.kcl
0x00  0x003  0x0060  13.04%  T34 VolcanoRock1.kcl
0x00  0x003  0x0060  13.38%  T81 course.kcl
0x00  0x003  0x0060  25.00%  T64 WLdokanGC.kcl
0x00  0x003  0x0060  25.00%  T64 WLwallGC.kcl
0x00  0x003  0x0060  27.00%  T83 course.kcl

0x00  0x004  0x0080   0.23%  T33 course.kcl
0x00  0x004  0x0080   0.41%  T23 course.kcl
0x00  0x004  0x0080   0.59%  T22 course.kcl
0x00  0x004  0x0080   0.85%  T73 course.kcl
0x00  0x004  0x0080   2.13%  T13 course.kcl
0x00  0x004  0x0080   3.30%  T63 course.kcl
0x00  0x004  0x0080   3.31%  T52 course.kcl
0x00  0x004  0x0080   8.06%  T74 course.kcl
0x00  0x004  0x0080  26.10%  T53 course.kcl

0x00  0x006  0x00c0   0.03%  T64 course.kcl
0x00  0x006  0x00c0   0.17%  T14 course.kcl
0x00  0x006  0x00c0   1.46%  T42 course.kcl
0x00  0x006  0x00c0   2.34%  T32 course.kcl

0x00  0x007  0x00e0   0.17%  T51 course.kcl
0x00  0x007  0x00e0   0.83%  T32 course.kcl
0x00  0x007  0x00e0   3.67%  T24 course.kcl
0x00  0x007  0x00e0   5.92%  T22 course.kcl

0x00  0x008  0x0100   0.48%  T21 course.kcl
0x00  0x008  0x0100   0.84%  T74 course.kcl
0x00  0x008  0x0100   1.24%  T54 course.kcl
0x00  0x008  0x0100   2.90%  T31 course.kcl
0x00  0x008  0x0100   3.82%  T42 course.kcl
0x00  0x008  0x0100   5.10%  T11 course.kcl
0x00  0x008  0x0100  13.32%  T14 course.kcl

0x00  0x009  0x0120   0.17%  T14 course.kcl
0x00  0x009  0x0120   0.35%  T24 course.kcl
0x00  0x009  0x0120   0.49%  T64 course.kcl
0x00  0x009  0x0120   0.67%  T13 course.kcl
0x00  0x009  0x0120   0.86%  T83 course.kcl
0x00  0x009  0x0120   1.28%  T12 course.kcl
0x00  0x009  0x0120   1.49%  T32 course.kcl
0x00  0x009  0x0120   2.71%  T52 course.kcl
0x00  0x009  0x0120   6.28%  T33 course.kcl

0x00  0x00a  0x0140   0.06%  T82 course.kcl
0x00  0x00a  0x0140   0.12%  T51 course.kcl
0x00  0x00a  0x0140   0.63%  T21 course.kcl
0x00  0x00a  0x0140   1.40%  T84 course.kcl
0x00  0x00a  0x0140   1.56%  T43 course.kcl
0x00  0x00a  0x0140   9.26%  T63 course.kcl
0x00  0x00a  0x0140   9.42%  T41 course.kcl

0x00  0x00b  0x0160   0.43%  T54 course.kcl
0x00  0x00b  0x0160   0.81%  T74 course.kcl
0x00  0x00b  0x0160   1.74%  T84 course.kcl
0x00  0x00b  0x0160   2.33%  T13 course.kcl
0x00  0x00b  0x0160   3.06%  T34 course.kcl
0x00  0x00b  0x0160   3.60%  T22 course.kcl
0x00  0x00b  0x0160  13.04%  T34 VolcanoRock2.kcl
0x00  0x00b  0x0160  16.42%  T34 VolcanoPiece5.kcl
0x00  0x00b  0x0160  22.71%  T61 course.kcl
0x00  0x00b  0x0160  42.86%  T34 VolcanoPiece7.kcl
0x00  0x00b  0x0160 100.00%  T34 VolcanoPiece5b.kcl
0x00  0x00b  0x0160 100.00%  T34 VolcanoPiece7b.kcl
0x00  0x00b  0x0160 100.00%  T34 VolcanoPiece8b.kcl

0x00  0x00c  0x0180   0.12%  T32 course.kcl
0x00  0x00c  0x0180   0.33%  T22 course.kcl
0x00  0x00c  0x0180   0.35%  T33 course.kcl
0x00  0x00c  0x0180   0.86%  T74 course.kcl
0x00  0x00c  0x0180   1.62%  T52 course.kcl

0x00  0x00e  0x01c0   0.39%  T32 course.kcl
0x00  0x00e  0x01c0   2.76%  T72 course.kcl

0x00  0x00f  0x01e0   0.08%  T42 course.kcl
0x00  0x00f  0x01e0   1.76%  T22 course.kcl
0x00  0x00f  0x01e0   7.78%  T72 course.kcl

